,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
802,999000,"235 VERNON AVENUE, BEDFORD STUYVESANT, BROOKLYN, NEW YORK, NY, 11206",40.69560205,-73.9423067734759,BEDFORD STUYVESANT,BROOKLYN,11206,2139,1783
803,755000,"384 KOSCIUSZKO ST, BEDFORD STUYVESANT, BROOKLYN, NEW YORK, NY, 11221",40.6919199,-73.9388307913472,BEDFORD STUYVESANT,BROOKLYN,11221,2400,2500
804,257000,"156 NORWOOD AVENUE, CYPRESS HILLS, BROOKLYN, NEW YORK, NY, 11208",40.68238685,-73.8795538640514,CYPRESS HILLS,BROOKLYN,11208,2565,3061
805,320000,"199-22 HOLLIS AVENUE, ST. ALBANS, QUEENS, NEW YORK, NY, 11412",40.705985,-73.7578358131486,ST. ALBANS,QUEENS,11412,2480,2724
808,838000,"38-42 216TH   STREET, BAYSIDE, QUEENS, NEW YORK, NY, 11361",40.7662173,-73.7674904971481,BAYSIDE,QUEENS,11361,1751,3325
809,460000,"256 REVERE AVENUE, THROGS NECK, BRONX, NEW YORK, NY, 10465",40.8171917,-73.8171161031972,THROGS NECK,BRONX,10465,1683,2069
811,900000,"1994 BERGEN STREET, OCEAN HILL, BROOKLYN, NEW YORK, NY, 11233",40.67409,-73.9147005,OCEAN HILL,BROOKLYN,11233,0,5334
812,165000,"30-44 29TH   STREET, ASTORIA, QUEENS, NEW YORK, NY, 11102",40.770519,-73.9193958,ASTORIA,QUEENS,11102, -  , -  
814,340000,"251 LORETTO STREET, TOTTENVILLE, STATEN ISLAND, NEW YORK, NY, 10307",40.5047221,-74.2392899463492,TOTTENVILLE,STATEN ISLAND,10307,1488,899
815,1080000,"43-04 147TH STREET, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11355",40.760627,-73.817682,FLUSHING-NORTH,QUEENS,11355,2296,3010
816,1255000,"15 WILLIAM STREET, FINANCIAL, MANHATTAN, NEW YORK, NY, 10005",40.7052902,-74.0102146,FINANCIAL,MANHATTAN,10005, -  , -  
819,7663349,"443 GREENWICH ST, TRIBECA, MANHATTAN, NEW YORK, NY, 10013",40.722896,-74.009524,TRIBECA,MANHATTAN,10013, -  , -  
820,1200000,"47-33 LITTLE NECK PARKWAY, LITTLE NECK, QUEENS, NEW YORK, NY, 11362",40.7697697,-73.7322636515171,LITTLE NECK,QUEENS,11362,3500,7065
821,665900,"21 GREAVES COURT, GREAT KILLS, STATEN ISLAND, NEW YORK, NY, 10308",40.5563339,-74.1468748,GREAT KILLS,STATEN ISLAND,10308,1716,5250
828,1123129,"310 WEST 52ND   STREET, MIDTOWN WEST, MANHATTAN, NEW YORK, NY, 10019",40.7635767,-73.9859259335561,MIDTOWN WEST,MANHATTAN,10019, -  , -  
829,734000,"84-30 263RD   STREET, FLORAL PARK, QUEENS, NEW YORK, NY, 11001",40.7369312,-73.7055199505519,FLORAL PARK,QUEENS,11001,2671,4000
838,880000,"46-43 247TH   STREET, DOUGLASTON, QUEENS, NEW YORK, NY, 11362",40.768509,-73.741267,DOUGLASTON,QUEENS,11362,1100,4450
839,818888,"69-69 74TH   STREET, MIDDLE VILLAGE, QUEENS, NEW YORK, NY, 11379",40.7075445,-73.8764744001453,MIDDLE VILLAGE,QUEENS,11379,1920,1300
